"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000028216",0.510635893935748,-0.258672188479467,0.32900414716934,-0.786227744254929,0.431734074822753,NA
"ENSGALG00000027367",0.0819270948722087,0.0856732448826405,0.125598982830787,0.682117346428382,0.495164752868023,NA
"ENSGALG00000026341",0.178838477657141,-0.0361219923887565,0.241230769551818,-0.149740401922472,0.880969431396786,NA
"ENSGALG00000006489",5114.37273426264,0.283186911346366,0.192306717866749,1.47257940069773,0.140864482636191,0.359036558669651
"ENSGALG00000006473",99.3421614009807,0.450219124893052,0.304678168704414,1.47768751140761,0.139491438624922,0.35748249311994
"ENSGALG00000019410",0.117244627480832,0.11774892611718,0.145992218748503,0.806542479637382,0.419930124623374,NA
"ENSGALG00000006409",1224.05551127794,-0.00178200030621815,0.184175976427539,-0.00967553065705749,0.992280163921239,0.996446013286386
"ENSGALG00000006356",973.100873375573,-0.0645236226251209,0.156772757678034,-0.411574201926292,0.680651543801754,0.838153998709666
"ENSGALG00000019412",1.43579208240092,-0.0860012788447722,0.359768160267462,-0.239046386931063,0.811069613636233,NA
"ENSGALG00000006337",0.193486771730719,0.234184691406138,0.199353982476342,1.17471789877049,0.240107596084967,NA
"ENSGALG00000006335",0.0277072006679034,-0.0315384779091871,0.0817349093036738,-0.385863007347455,0.699598128779237,NA
"ENSGALG00000006332",3392.47522903892,-0.0271860821244997,0.173986068131816,-0.156254362297002,0.875832528004789,0.943013795886658
"ENSGALG00000006324",1705.23784403173,-0.777007627429851,0.272082674241978,-2.85577767711447,0.00429315637577305,0.0517520486752279
"ENSGALG00000023876",74.3835141045246,-0.420688870687316,0.35145083901936,-1.19700630637602,0.231304096715925,0.475995704598355
"ENSGALG00000009279",39.9806438738368,-0.292147778790617,0.304091925380742,-0.960721921257297,0.336692006041479,0.583285521071858
"ENSGALG00000026622",18.7774727766899,-0.361702238198707,0.270452541717276,-1.33739633542369,0.181093300009226,0.415111365548909
"ENSGALG00000006891",5.53358638584749,-1.16939071206163,0.381907799087082,-3.06197127908087,0.00219884549511389,0.0341679832932354
"ENSGALG00000006833",26.4480774959443,-0.152672451815253,0.28280480317861,-0.53985098590716,0.589299802049132,0.782901144791657
"ENSGALG00000006769",496.43500593996,-0.0997281990397747,0.17318911503915,-0.575834104916068,0.564727318889908,0.765505381465102
"ENSGALG00000006753",13161.3064480642,0.421188133831749,0.195946234509451,2.14950868990256,0.0315940979830632,0.154568434494396
"ENSGALG00000006731",1934.10882303486,-0.146701711472548,0.116936192100785,-1.25454496881606,0.209643991480775,0.448878690725649
"ENSGALG00000006726",114.72967107369,-0.544540718548924,0.213594510154701,-2.54941345708992,0.010790428877358,0.0841234615427671
"ENSGALG00000025441",0.0679179004316608,0.0204129994396372,0.128565844325379,0.158774669483563,0.873846406446351,NA
